epoch,acc,loss,val_acc,val_loss
0,0.71171856982259718,0.60951578217266145,0.77924131285654352,0.54704565651424319
1,0.77762818914949128,0.47852033894797785,0.70864068023522864,0.57357249248015241
2,0.81029032732139172,0.42927942455191714,0.7223393064781285,0.5819701199096925
3,0.82749941483841261,0.39733405065491839,0.83561643703719968,0.37044320471419928
4,0.83879653411345856,0.37790717537273039,0.7881981048996004,0.46744091348728467
5,0.84751814447502094,0.35727197295907398,0.81612222852897842,0.41049137309554756
6,0.85729337705714004,0.3395034027770179,0.85458377653730933,0.33887760873463935
7,0.86531257810818174,0.32923012976936983,0.87513171678096902,0.29440713131327273
8,0.87034652424874615,0.31374635001558576,0.88040042137069618,0.30529255171093472
9,0.87596581543086427,0.30630857112451787,0.86090621122947109,0.35375318249925047
10,0.87713650398582632,0.29676614634586257,0.88303477030534006,0.2894255879744338
11,0.88246312611166133,0.2842910390402193,0.88724974353647579,0.28486139659384152
